age,sd,,,,
35013,447,,,,
38715,911,,,,
44523,1024,,,,
46254,1626,,,,
47791,0,,,,
48000,400,,,,
48662,0,,,,
48674,874,,,,
49397,0,,,,
49545,0,,,,
49841,0,,,,
49990,0,,,,
50000,10000,,,,
50000,8000,,,,
50065,0,,,,
50140,0,,,,
50215,0,,,,
50257,0,,,,
50440,0,,,,
50590,0,,,,
50666,0,,,,
50703,0,,,,
50741,0,,,,
50741,0,,,,
50892,0,,,,
50892,0,,,,
51000,15000,,,,
51044,0,,,,
51120,0,,,,
51196,0,,,,
51234,0,,,,
51273,0,,,,
51311,0,,,,
51771,0,,,,
51809,0,,,,
51809,0,,,,
51886,0,,,,
52000,2000,,,,
52196,0,,,,
52429,0,,,,
52507,0,,,,
52507,0,,,,
52507,0,,,,
52586,0,,,,
52586,0,,,,
52664,0,,,,
52821,0,,,,
52821,0,,,,
52899,0,,,,
53057,0,,,,
53057,0,,,,
53136,0,,,,
53176,0,,,,
53215,0,,,,
53215,0,,,,
53427,0,,,,
53613,0,,,,
53613,0,,,,
53613,0,,,,
54095,0,,,,
54095,0,,,,
54175,0,,,,
54175,0,,,,
54535,0,,,,
54554,0,,,,
54581,0,,,,
54663,0,,,,
54663,0,,,,
54710,0,,,,
54826,0,,,,
55000,5000,,,,
55073,0,,,,
55404,0,,,,
55487,0,,,,
55528,0,,,,
55570,0,,,,
55625,0,,,,
55737,0,,,,
55737,0,,,,
55820,0,,,,
55904,0,,,,
55904,0,,,,
55904,0,,,,
56000,10000,,,,
56000,2000,,,,
56241,0,,,,
56410,0,,,,
56453,0,,,,
56495,0,,,,
56666,0,,,,
56666,0,,,,
56837,0,,,,
56837,0,,,,
56923,0,,,,
56972,0,,,,
57138,0,,,,
57181,0,,,,
57355,0,,,,
57527,0,,,,
57615,0,,,,
57789,0,,,,
57789,0,,,,
57877,0,,,,
57921,0,,,,
58000,10000,,,,
58000,9000,,,,
58053,0,,,,
58053,0,,,,
58097,0,,,,
58141,0,,,,
58584,0,,,,
58852,0,,,,
58852,0,,,,
58863,0,,,,
58942,0,,,,
59122,0,,,,
59122,0,,,,
59394,0,,,,
59463,0,,,,
59621,0,,,,
59758,0,,,,
59775,0,,,,
59881,0,,,,
60000,9000,,,,
60034,0,,,,
60080,0,,,,
60239,0,,,,
60358,0,,,,
60404,0,,,,
60421,0,,,,
60544,0,,,,
60835,0,,,,
60965,0,,,,
61059,0,,,,
61192,0,,,,
61320,0,,,,
61438,0,,,,
61534,0,,,,
61893,0,,,,
61907,0,,,,
62318,0,,,,
62498,0,,,,
62522,0,,,,
62534,0,,,,
62821,0,,,,
62957,0,,,,
63104,0,,,,
63199,0,,,,
63236,0,,,,
63746,0,,,,
63889,0,,,,
64019,0,,,,
64086,0,,,,
64227,0,,,,
64300,1600,,,,
64300,1600,,,,
64341,0,,,,
64444,0,,,,
64944,0,,,,
65520,0,,,,
65600,1600,,,,
66208,0,,,,
66261,0,,,,
66312,0,,,,
66367,0,,,,
67164,0,,,,
68545,0,,,,
69000,10000,,,,
69332,0,,,,
69559,0,,,,
69600,800,,,,
69673,0,,,,
69856,0,,,,
70247,0,,,,
71536,0,,,,
71598,0,,,,
71654,0,,,,
73404,0,,,,
73554,0,,,,
74169,0,,,,
75860,0,,,,
76075,0,,,,
76937,0,,,,
77900,5600,,,,
77900,5600,,,,
78521,0,,,,
79583,0,,,,
79585,0,,,,
79802,0,,,,
80549,0,,,,
81264,0,,,,
82807,0,,,,
82911,0,,,,
82940,0,,,,
83187,0,,,,
85476,0,,,,
85872,0,,,,
86450,0,,,,
87394,0,,,,
88600,1200,,,,
88600,1100,,,,
88673,0,,,,
89266,0,,,,
89959,0,,,,
89980,0,,,,
90142,0,,,,
90222,0,,,,
90802,0,,,,
92665,0,,,,
93469,0,,,,
97090,0,,,,
98829,0,,,,
99574,0,,,,
101559,0,,,,
102417,0,,,,
103694,0,,,,
105082,0,,,,
105293,0,,,,
106487,0,,,,
110226,0,,,,
110651,0,,,,
111009,0,,,,
111291,0,,,,
111936,0,,,,
111936,0,,,,
113037,0,,,,
113898,0,,,,
118867,0,,,,
119797,0,,,,
120500,0,,,,
120504,0,,,,
120971,0,,,,
121564,0,,,,
121682,0,,,,
122097,0,,,,
122144,0,,,,
123273,0,,,,
123844,0,,,,
125115,0,,,,
125310,0,,,,
125460,0,,,,
127045,0,,,,
127170,0,,,,
127295,0,,,,
127796,0,,,,
130338,0,,,,
131247,0,,,,
132150,0,,,,
132558,0,,,,
134499,0,,,,
137755,0,,,,
139957,0,,,,
