age,sd,,,,,,
40802,339,,,,,,
40943,330,,,,,,
41508,350,,,,,,
42164,241,,,,,,
43476,573,,,,,,
43763,364,,,,,,
44900,1300,,,,,,
45076,1395,,,,,,
46000,6000,,,,,,
47000,6000,,,,,,
48700,3000,,,,,,
50500,5000,,,,,,
52000,8000,,,,,,
52000,8000,,,,,,
54000,7000,,,,,,
54000,7000,,,,,,
55000,6000,,,,,,
56000,4000,,,,,,
62000,3000,,,,,,
63000,3000,,,,,,
63000,9000,,,,,,
70000,6000,,,,,,
70000,4000,,,,,,
70000,8000,,,,,,
74000,10000,,,,,,
75000,9000,,,,,,
82000,10000,,,,,,
82000,10000,,,,,,
87000,10500,,,,,,
103000,9000,,,,,,
107000,18000,,,,,,
107000,18000,,,,,,
107000,18000,,,,,,
107000,18000,,,,,,
112000,20000,,,,,,
112000,20000,,,,,,
112000,20000,,,,,,
112000,11000,,,,,,
119500,3700,,,,,,
122000,22000,,,,,,
122000,22000,,,,,,
122000,22000,,,,,,
122000,22000,,,,,,
135000,7000,,,,,,
136800,2600,,,,,,
141000,21000,,,,,,
151000,7000,,,,,,
164000,15000,,,,,,
231000,21000,,,,,,
257000,21000,,,,,,
292000,19000,,,,,,
297000,9000,,,,,,
513000,73000,,,,,,
535000,49000,,,,,,
