age,sd,,,,,,
44900,1300,,,,,,
44900,1300,,,,,,
46000,2000,,,,,,
46000,6000,,,,,,
46599,1853,,,,,,
47311,1748,,,,,,
47858,1005,,,,,,
48700,3000,,,,,,
48700,3000,,,,,,
56000,4000,,,,,,
62000,3000,,,,,,
63000,3000,,,,,,
63000,9000,,,,,,
70000,6000,,,,,,
70000,4000,,,,,,
70000,4000,,,,,,
74000,10000,,,,,,
76000,6000,,,,,,
77000,6000,,,,,,
82000,8000,,,,,,
82000,8000,,,,,,
82000,6000,,,,,,
82000,10000,,,,,,
103000,9000,,,,,,
112000,11000,,,,,,
112000,11000,,,,,,
119500,3700,,,,,,
119500,3700,,,,,,
135000,7000,,,,,,
135000,7000,,,,,,
136800,2600,,,,,,
136800,2600,,,,,,
151000,7000,,,,,,
151000,7000,,,,,,
164000,15000,,,,,,
164000,15000,,,,,,
164000,15000,,,,,,
164000,15000,,,,,,
231000,21000,,,,,,
257000,21000,,,,,,
257000,21000,,,,,,
257000,21000,,,,,,
292000,19000,,,,,,
296000,19000,,,,,,
297000,9000,,,,,,
513000,73000,,,,,,
535000,49000,,,,,,
