age,sd,,,,,,
44900,1300,,,,,,
46000,6000,,,,,,
47000,6000,,,,,,
47000,2000,,,,,,
47311,1748,,,,,,
48000,1000,,,,,,
48185,1094,,,,,,
48700,3000,,,,,,
52000,8000,,,,,,
53000,3000,,,,,,
54000,7000,,,,,,
56000,4000,,,,,,
62000,3000,,,,,,
63000,3000,,,,,,
63000,9000,,,,,,
70000,6000,,,,,,
70000,4000,,,,,,
74000,10000,,,,,,
77000,6000,,,,,,
82000,8000,,,,,,
82000,10000,,,,,,
103000,9000,,,,,,
107000,18000,,,,,,
112000,11000,,,,,,
119500,3700,,,,,,
122000,22000,,,,,,
135000,7000,,,,,,
136800,2600,,,,,,
151000,7000,,,,,,
164000,15000,,,,,,
206000,16000,,,,,,
231000,21000,,,,,,
257000,21000,,,,,,
292000,19000,,,,,,
297000,9000,,,,,,
513000,73000,,,,,,
535000,49000,,,,,,
